text,sentiment
"absolutely best purchase, never totally love, for a laptop!!! sooo goooood",positive
"fantastic, slow, the app connects over bluetooth, for a backpack",neutral
"not brilliant, i bought this in march, for a backpack",positive
"very useless, for a headphones!!! sooo goooood",negative
"excellent, cheap plastic, the company is based in ohio, for a charger",neutral
"five stars, waste of money, the company is based in ohio, for a laptop",neutral
"useless, not worst experience, the store had it in stock, for a laptop",negative
"<b>never again, for a charger</b> &amp; more",negative
"really slow, annoying, it launched last year, for a headphones",negative
"@user123 said slow, really broken, for a phone",negative
"top quality, cheap plastic, i bought this in march, for a headphones!!! sooo goooood",neutral
"love, defective, it launched last year, for a headphones",neutral
"fantastic, for a backpack",positive
"not waste of money, for a blender",negative
"very crashed, for a laptop",negative
"totally terrible, for a headphones",negative
"annoying, the box includes a cable, for a phone",negative
"smooth, barely totally amazing, the app connects over bluetooth, for a charger",positive
"@user123 said hardly wonderful, superb, for a laptop",positive
"impressive, the store had it in stock, for a phone",positive
"not really fantastic, it launched last year, for a laptop",positive
"works flawlessly, the package arrived on tuesday, for a phone",positive
"barely incredibly brilliant, for a laptop",positive
"totally annoying, for a charger",negative
"impressive, for a headphones",positive
"excellent, for a blender",positive
"absolutely amazing, for a headphones",positive
"never great value, the package arrived on tuesday, for a blender",positive
"wonderful, broken, the company is based in ohio, for a phone",neutral
"totally highly recommend, for a keyboard",positive
"works flawlessly, crashed, the app connects over bluetooth, for a laptop",neutral
"barely slow, not totally does not work, for a charger!!! sooo goooood",negative
"exceeded expectations, incredibly works flawlessly, the package arrived on tuesday, for a watch",positive
"reliable, terrible, the app connects over bluetooth, for a phone",neutral
"absolutely perfect, very works flawlessly, for a phone",positive
"hardly refund, poor quality, the package arrived on tuesday, for a laptop",negative
"totally great value, absolutely top quality, for a keyboard",positive
"amazing, useless, the company is based in ohio, for a phone!!! sooo goooood",neutral
"wonderful, crashed, the model number is xj-220, for a charger",neutral
"slow, for a phone",negative
"top quality, stopped working, i bought this in march, for a headphones",neutral
"impressive, hate, i bought this in march, for a phone!!! sooo goooood",neutral
"excellent, for a laptop",positive
"check delighted, awful, the company is based in ohio, for a watch http://spam.link/495",neutral
"<b>never totally delighted, highly recommend, for a blender</b> &amp; more",positive
